"ndc","rxcui","atc4","atc4_name"
"10157100501",797885,"D01AE","Other antifungals for topical use"
"10157100501",797885,"S01BC","Antiinflammatory agents, non-steroids"
"10157992002",204709,"C05BB","Sclerosing agents for local injection"
"10157992002",204709,"D08AE","Phenol and derivatives"
"10157992002",204709,"N01BX","Other local anesthetics"
"10157992002",204709,"R02AA","Antiseptics"
"10158000811",1247397,"A01AD","Other agents for local oral treatment"
"10158000811",1247397,"B01AC","Platelet aggregation inhibitors excl. heparin"
"10158000811",1247397,"N02BA","Salicylic acid and derivatives"
"10158000811",1247397,"D11AX","Other dermatologicals"
"10158000811",1247397,"N06BC","Xanthine derivatives"
"10158001908",1247402,"A01AD","Other agents for local oral treatment"
"10158001908",1247402,"B01AC","Platelet aggregation inhibitors excl. heparin"
"10158001908",1247402,"N02BA","Salicylic acid and derivatives"
"10158001908",1247402,"D11AX","Other dermatologicals"
"10158001908",1247402,"N06BC","Xanthine derivatives"
"10158004201",1101446,"R06AA","Aminoalkyl ethers"
"10158040572",NA,NA,NA
"10223020101",1722107,"C05AD","Local anesthetics"
"10223020101",1722107,"D04AB","Anesthetics for topical use"
"10223020101",1722107,"N01BA","Esters of aminobenzoic acid"
"10223020101",1722107,"S01HA","Local anesthetics"
"10223020101",1722107,"C05AD","Local anesthetics"
"10223020101",1722107,"D04AB","Anesthetics for topical use"
"10223020101",1722107,"N01BA","Esters of aminobenzoic acid"
"10223020101",1722107,"R02AD","Anesthetics, local"
"10223030101",NA,NA,NA
"10223030201",NA,NA,NA
"10223050301",NA,NA,NA
"10235100106",312515,"A12BA","Potassium"
"10235100106",312515,"B05XA","Electrolyte solutions"
"10235100206",314182,"A12BA","Potassium"
"10235100206",314182,"B05XA","Electrolyte solutions"
"10267006430",1094126,"G04BX","Other urologicals"
"10267015801",198664,NA,NA
"10267023101",198186,"P01BC","Methanolquinolines"
"10267040714",824586,NA,NA
"10267045201",198648,NA,NA
"10267050401",252714,NA,NA
"10267071501",198351,"G04BE","Drugs used in erectile dysfunction"
"10267073701",2466530,NA,NA
"10267073710",2466530,NA,NA
"10267084101",199674,NA,NA
"10267086903",308761,NA,NA
"10267100001",2391610,"N02BE","Anilides"
"10267100706",1099446,"R06AX","Other antihistamines for systemic use"
"10267100706",1099446,"R01BA","Sympathomimetics"
"10267102501",308471,NA,NA
"10267102701",1143393,NA,NA
"10267121504",1049167,"R01BA","Sympathomimetics"
"10267146501",198806,NA,NA
"10267162101",1047905,"A03BA","Belladonna alkaloids, tertiary amines"
"10267199101",1145125,NA,NA
"10267206901",1075494,NA,NA
"10267210301",309606,"B03BA","Vitamin B12 (cyanocobalamin and analogues)"
"10267210301",309606,"B03BB","Folic acid and derivatives"
"10267210301",309606,"V04CX","Other diagnostic agents"
"10267227001",1072036,NA,NA
"10267269101",995666,"R06AE","Piperazine derivatives"
"10267273401",1046982,"A03BA","Belladonna alkaloids, tertiary amines"
"10267292903",1047805,"A03BA","Belladonna alkaloids, tertiary amines"
"10267292903",1047805,"G04BX","Other urologicals"
"10310000044",NA,NA,NA
"10310000045",NA,NA,NA
"10310000701",616460,NA,NA
"10310003311",NA,NA,NA
"10310005521",NA,NA,NA
"10310007301",251294,"D01AE","Other antifungals for topical use"
"10310007301",251294,"S01BC","Antiinflammatory agents, non-steroids"
"10310014101",NA,NA,NA
"10310022505",NA,NA,NA
"10310022525",311497,NA,NA
"10310028313",708076,"C05AD","Local anesthetics"
"10310028313",708076,"D04AB","Anesthetics for topical use"
"10310028313",708076,"N01BA","Esters of aminobenzoic acid"
"10310028313",708076,"R02AD","Anesthetics, local"
"10310029345",NA,NA,NA
"10310031203",NA,NA,NA
"10310032945",1045335,"C05AD","Local anesthetics"
"10310032945",1045335,"D04AB","Anesthetics for topical use"
"10310032945",1045335,"N01BA","Esters of aminobenzoic acid"
"10310032945",1045335,"R02AD","Anesthetics, local"
"10310035301",106258,"A01AC","Corticosteroids for local oral treatment"
"10310035301",106258,"A07EA","Corticosteroids acting locally"
"10310035301",106258,"C05AA","Corticosteroids"
"10310035301",106258,"D07AA","Corticosteroids, weak (group I)"
"10310035301",106258,"D07XA","Corticosteroids, weak, other combinations"
"10310035301",106258,"H02AB","Glucocorticoids"
"10310035301",106258,"S01BA","Corticosteroids, plain"
"10310035301",106258,"S01CB","Corticosteroids/antiinfectives/mydriatics in combination"
"10310035301",106258,"S02BA","Corticosteroids"
"10310036606",212836,"D01AE","Other antifungals for topical use"
"10310036606",212836,"S01BC","Antiinflammatory agents, non-steroids"
"10310633102",NA,NA,NA
"10327000830",904177,NA,NA
"10327003320",NA,NA,NA
"10327003510",NA,NA,NA
"10327004950",2461148,NA,NA
"10327005620",NA,NA,NA
"10327005850",1309250,NA,NA
"10327013710",NA,NA,NA
"10327025150",377624,NA,NA
"10331000005",NA,NA,NA
"10331000009",844379,NA,NA
"10331000601",212906,NA,NA
"10337002361",853612,"D10AB","Preparations containing sulfur"
"10337006101",207086,"A03BB","Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
"10337006101",207086,"S01FA","Anticholinergics"
"10337015380",1370748,"D07AB","Corticosteroids, moderately potent (group II)"
"10337015380",1370748,"A01AC","Corticosteroids for local oral treatment"
"10337015380",1370748,"A07EA","Corticosteroids acting locally"
"10337015380",1370748,"C05AA","Corticosteroids"
"10337015380",1370748,"D07AA","Corticosteroids, weak (group I)"
"10337015380",1370748,"D07XA","Corticosteroids, weak, other combinations"
"10337015380",1370748,"H02AB","Glucocorticoids"
"10337015380",1370748,"S01BA","Corticosteroids, plain"
"10337015380",1370748,"S01CB","Corticosteroids/antiinfectives/mydriatics in combination"
"10337015380",1370748,"S02BA","Corticosteroids"
"10337016215",861472,"D07AD","Corticosteroids, very potent (group IV)"
"10337016330",861503,"D07AD","Corticosteroids, very potent (group IV)"
"10337031110",848579,"A12CA","Sodium"
"10337031110",848579,"B05CB","Salt solutions"
"10337031110",848579,"B05XA","Electrolyte solutions"
"10337033230",895989,"D07AC","Corticosteroids, potent (group III)"
"10337033230",895989,"R01AD","Corticosteroids"
"10337033230",895989,"R03BA","Glucocorticoids"
"10337035830",207248,"D01AC","Imidazole and triazole derivatives"
"10337035830",207248,"G01AF","Imidazole derivatives"
"10337035930",207249,"D01AC","Imidazole and triazole derivatives"
"10337035930",207249,"G01AF","Imidazole derivatives"
"10337039530",966820,"D07AC","Corticosteroids, potent (group III)"
"10337040030",1947740,NA,NA
"10337042020",NA,NA,NA
"10337043404",895991,"D07AC","Corticosteroids, potent (group III)"
"10337043404",895991,"R01AD","Corticosteroids"
"10337043404",895991,"R03BA","Glucocorticoids"
"10337050010",706548,"D01AE","Other antifungals for topical use"
"10337055121",1084835,NA,NA
"10337060041",1085189,NA,NA
"10337064510",707348,"B05BC","Solutions producing osmotic diuresis"
"10337064510",707348,"D02AE","Carbamide products"
"10337064610",707348,"B05BC","Solutions producing osmotic diuresis"
"10337064610",707348,"D02AE","Carbamide products"
"10337064745",247760,"B05BC","Solutions producing osmotic diuresis"
"10337064745",247760,"D02AE","Carbamide products"
"10337064810",630050,NA,NA
"10337065119",212425,"B05BC","Solutions producing osmotic diuresis"
"10337065119",212425,"D02AE","Carbamide products"
"10337065651",352077,NA,NA
"10337065715",349352,"B05BC","Solutions producing osmotic diuresis"
"10337065715",349352,"D02AE","Carbamide products"
"10337065805",416916,"B05BC","Solutions producing osmotic diuresis"
"10337065805",416916,"D02AE","Carbamide products"
"10337066212",999613,"D10AF","Antiinfectives for treatment of acne"
"10337066212",999613,"S01AB","Sulfonamides"
"10337066212",999613,"D10AB","Preparations containing sulfur"
"10337066311",477126,"B05BC","Solutions producing osmotic diuresis"
"10337066311",477126,"D02AE","Carbamide products"
"10337066663",216473,NA,NA
"10337070019",1010835,"C01BB","Antiarrhythmics, class Ib"
"10337070019",1010835,"C05AD","Local anesthetics"
"10337070019",1010835,"D04AB","Anesthetics for topical use"
"10337070019",1010835,"N01BB","Amides"
"10337070019",1010835,"R02AD","Anesthetics, local"
"10337070019",1010835,"S01HA","Local anesthetics"
"10337070019",1010835,"S02DA","Analgesics and anesthetics"
"10337070510",1010836,"C01BB","Antiarrhythmics, class Ib"
"10337070510",1010836,"C05AD","Local anesthetics"
"10337070510",1010836,"D04AB","Anesthetics for topical use"
"10337070510",1010836,"N01BB","Amides"
"10337070510",1010836,"R02AD","Anesthetics, local"
"10337070510",1010836,"S01HA","Local anesthetics"
"10337070510",1010836,"S02DA","Analgesics and anesthetics"
"10337071019",1012621,NA,NA
"10337071510",1012238,"A01AC","Corticosteroids for local oral treatment"
"10337071510",1012238,"A07EA","Corticosteroids acting locally"
"10337071510",1012238,"C05AA","Corticosteroids"
"10337071510",1012238,"D07AA","Corticosteroids, weak (group I)"
"10337071510",1012238,"D07XA","Corticosteroids, weak, other combinations"
"10337071510",1012238,"H02AB","Glucocorticoids"
"10337071510",1012238,"S01BA","Corticosteroids, plain"
"10337071510",1012238,"S01CB","Corticosteroids/antiinfectives/mydriatics in combination"
"10337071510",1012238,"S02BA","Corticosteroids"
"10337071510",1012238,"C01BB","Antiarrhythmics, class Ib"
"10337071510",1012238,"C05AD","Local anesthetics"
"10337071510",1012238,"D04AB","Anesthetics for topical use"
"10337071510",1012238,"N01BB","Amides"
"10337071510",1012238,"R02AD","Anesthetics, local"
"10337071510",1012238,"S01HA","Local anesthetics"
"10337071510",1012238,"S02DA","Analgesics and anesthetics"
"10337072252",205100,NA,NA
"10337074451",999656,NA,NA
"10337080001",1652673,"A01AB","Antiinfectives and antiseptics for local oral treatment"
"10337080001",1652673,"J01AA","Tetracyclines"
"10337080203",795852,"A01AB","Antiinfectives and antiseptics for local oral treatment"
"10337080203",795852,"J01AA","Tetracyclines"
"10337080301",855644,"D11AX","Other dermatologicals"
"10337080301",855644,"M01AB","Acetic acid derivatives and related substances"
"10337080301",855644,"M02AA","Antiinflammatory preparations, non-steroids for topical use"
"10337080301",855644,"S01BC","Antiinflammatory agents, non-steroids"
"10337080403",1000095,"D04AX","Other antipruritics"
"10337080403",1000095,"N06AA","Non-selective monoamine reuptake inhibitors"
"10337080641",106315,"D10AE","Peroxides"
"10337081403",835701,"A01AB","Antiinfectives and antiseptics for local oral treatment"
"10337081403",835701,"J01AA","Tetracyclines"
"10337081506",730065,"A01AB","Antiinfectives and antiseptics for local oral treatment"
"10337081506",730065,"J01AA","Tetracyclines"
"10337090441",2206982,NA,NA
"10337240401",NA,NA,NA
"10337370401",244537,"D10AB","Preparations containing sulfur"
"10337370401",244537,"D01AE","Other antifungals for topical use"
"10337370401",244537,"S01BC","Antiinflammatory agents, non-steroids"
"10337410202",2003955,NA,NA
"10350001912",NA,NA,NA
"10350002804",NA,NA,NA
"10350004910",198550,NA,NA
"10350006604",NA,NA,NA
"10350006804",NA,NA,NA
"10350008516",992432,"D04AA","Antihistamines for topical use"
"10350008516",992432,"R06AD","Phenothiazine derivatives"
"10350008616",237262,NA,NA
"10350008716",237257,NA,NA
"10350009016",NA,NA,NA
"10350009316",1049906,"D04AA","Antihistamines for topical use"
"10350009316",1049906,"R06AA","Aminoalkyl ethers"
"10350009416",NA,NA,NA
"10350011216",313306,"R03DA","Xanthines"
"10356002001",212929,NA,NA
"10356002101",212929,NA,NA
"10356002201",308512,"D06AX","Other antibiotics for topical use"
"10356002201",308512,"J01XX","Other antibacterials"
"10356002201",308512,"R02AB","Antibiotics"
"10356002201",308512,"A07AA","Antibiotics"
"10356002201",308512,"J01XB","Polymyxins"
"10356002201",308512,"S01AA","Antibiotics"
"10356002201",308512,"S02AA","Antiinfectives"
"10356002201",308512,"S03AA","Antiinfectives"
"10356009004",310257,NA,NA
"10356009350",NA,NA,NA
"10356045547",NA,NA,NA
"10356047402",NA,NA,NA
"10356047403",NA,NA,NA
"10356055201",NA,NA,NA
"10356079201",NA,NA,NA
"10356079304",310259,NA,NA
"10361072200",NA,NA,NA
"10361072300",308534,NA,NA
"10361307500",835793,NA,NA
"10370010100",993541,"N06AX","Other antidepressants"
"10370010103",993541,"N06AX","Other antidepressants"
"10370010150",993541,"N06AX","Other antidepressants"
"10370010200",993557,"N06AX","Other antidepressants"
"10370010705",359383,"J01MA","Fluoroquinolones"
"10370010705",359383,"S01AE","Fluoroquinolones"
"10370010705",359383,"S02AA","Antiinfectives"
"10370010705",359383,"S03AA","Antiinfectives"
"10370010805",403921,"J01MA","Fluoroquinolones"
"10370010805",403921,"S01AE","Fluoroquinolones"
"10370010805",403921,"S02AA","Antiinfectives"
"10370010805",403921,"S03AA","Antiinfectives"
"10370011610",854880,"N05CF","Benzodiazepine related drugs"
"10370011710",854894,"N05CF","Benzodiazepine related drugs"
"10370015906",993503,"N06AX","Other antidepressants"
"10370016006",993518,"N06AX","Other antidepressants"
"10370016106",993536,"N06AX","Other antidepressants"
"10370016901",863669,"G04CA","Alpha-adrenoreceptor antagonists"
"10370017009",485423,"G04BD","Drugs for urinary frequency and incontinence"
"10370017109",485421,"G04BD","Drugs for urinary frequency and incontinence"
"10370017511",903873,"N06AB","Selective serotonin reuptake inhibitors"
"10370017611",903879,"N06AB","Selective serotonin reuptake inhibitors"
"10370019001",314006,"A10BB","Sulfonylureas"
"10370019101",315107,"A10BB","Sulfonylureas"
"10370019506",807832,"N03AX","Other antiepileptics"
"10370020909",828379,"C10AB","Fibrates"
"10370021009",828373,"C10AB","Fibrates"
"10370021406",846378,"N03AX","Other antiepileptics"
"10370021901",315183,"A12BA","Potassium"
"10370021901",315183,"B05XA","Electrolyte solutions"
"10370022001",312504,"A12BA","Potassium"
"10370022001",312504,"B05XA","Electrolyte solutions"
"10370022111",1946529,"N02AX","Other opioids"
"10370022211",1946527,"N02AX","Other opioids"
"10370022311",1946525,"N02AX","Other opioids"
"10370025111",901541,"N04BC","Dopamine agonists"
"10370025211",901546,"N04BC","Dopamine agonists"
"10370025311",901550,"N04BC","Dopamine agonists"
"10370025411",901555,"N04BC","Dopamine agonists"
"10370025511",901534,"N04BC","Dopamine agonists"
"10370025702",1013930,"C02AC","Imidazoline receptor agonists"
"10370025702",1013930,"N02CX","Other antimigraine preparations"
"10370025702",1013930,"S01EA","Sympathomimetics in glaucoma therapy"
"10370026801",199159,"D10AD","Retinoids for topical use in acne"
"10370026801",199159,"L01XF","Retinoids for cancer treatment"
"10370028009",996097,"G04CA","Alpha-adrenoreceptor antagonists"
"10370028009",996097,"G04CB","Testosterone-5-alpha reductase inhibitors"
"10370028009",996097,"G04CA","Alpha-adrenoreceptor antagonists"
"10370030511",1114479,"N04BC","Dopamine agonists"
"10370030611",1114485,"N04BC","Dopamine agonists"
"10370034611",996615,"N06DX","Other anti-dementia drugs"
"10370034709",996594,"N06DX","Other anti-dementia drugs"
"10370034811",996603,"N06DX","Other anti-dementia drugs"
"10370034909",996609,"N06DX","Other anti-dementia drugs"
"10370051010",1099563,NA,NA
"10370051110",1099569,NA,NA
"10370053301",862006,"C02AC","Imidazoline receptor agonists"
"10370053401",862013,"C02AC","Imidazoline receptor agonists"
"10370053601",862019,"C02AC","Imidazoline receptor agonists"
"10370053801",862025,"C02AC","Imidazoline receptor agonists"
"10370067701",198034,"C08CA","Dihydropyridine derivatives"
"10370067801",198035,"C08CA","Dihydropyridine derivatives"
"10370067901",198036,"C08CA","Dihydropyridine derivatives"
"10370082905",830861,"C05AE","Muscle relaxants"
"10370082905",830861,"C08DB","Benzothiazepine derivatives"
"10370083005",830845,"C05AE","Muscle relaxants"
"10370083005",830845,"C08DB","Benzothiazepine derivatives"
"10370083105",830837,"C05AE","Muscle relaxants"
"10370083105",830837,"C08DB","Benzothiazepine derivatives"
"10370083205",830801,"C05AE","Muscle relaxants"
"10370083205",830801,"C08DB","Benzothiazepine derivatives"
"10380001800",392038,"A01AA","Caries prophylactic agents"
"10380001800",392038,"A12CD","Fluoride"
"10380002200",310481,NA,NA
"10380002800",1361769,NA,NA
"10380004100",NA,NA,NA
"10425000401",NA,NA,NA
"10432001301",313841,"A11GA","Ascorbic acid (vitamin C), plain"
"10432001301",313841,"G01AD","Organic acids"
"10432001301",313841,"S01XA","Other ophthalmologicals"
"10432003301",855036,NA,NA
"10432006501",204624,"A11HA","Other plain vitamin preparations"
"10432006501",204624,"S01XA","Other ophthalmologicals"
"10432009101",105686,"B03BA","Vitamin B12 (cyanocobalamin and analogues)"
"10432010001",830785,NA,NA
"10432011001",313717,"A11HA","Other plain vitamin preparations"
"10432017002",209638,"A11CC","Vitamin D and analogues"
"10432017501",311425,"A12CC","Magnesium"
"10432023701",199362,"A11CC","Vitamin D and analogues"
"10432029301",240758,"A11HA","Other plain vitamin preparations"
"10454071010",1736642,NA,NA
"10475001311",NA,NA,NA
"10475001388",NA,NA,NA
"10481100201",208221,"C05AD","Local anesthetics"
"10481100201",208221,"D04AB","Anesthetics for topical use"
"10481100201",208221,"N01BA","Esters of aminobenzoic acid"
"10481100201",208221,"R02AD","Anesthetics, local"
"10481100602",251273,"D10AX","Other anti-acne preparations for topical use"
"10481100701",308949,NA,NA
"10481103701",313548,NA,NA
"10481300001",702648,"A11HA","Other plain vitamin preparations"
"10481300301",1088840,NA,NA
"10481300501",238636,NA,NA
"10481300601",238470,NA,NA
"10481300801",210710,NA,NA
"10481301201",312538,NA,NA
"10517012210",NA,NA,NA
"10518010207",312199,"L01CD","Taxanes"
"10533000502",NA,NA,NA
"10533000902",NA,NA,NA
"10533002201",1145272,NA,NA
"10542000010",NA,NA,NA
"10542001210",1947776,NA,NA
"10542001409",1947806,NA,NA
"10542001510",826653,"A11DA","Vitamin B1, plain"
"10542001510",826653,"A11GA","Ascorbic acid (vitamin C), plain"
"10542001510",826653,"G01AD","Organic acids"
"10542001510",826653,"S01XA","Other ophthalmologicals"
"10542001510",826653,"A11HA","Other plain vitamin preparations"
"10542001510",826653,"B03BA","Vitamin B12 (cyanocobalamin and analogues)"
"10542001510",826653,"B03BB","Folic acid and derivatives"
"10542001510",826653,"V04CX","Other diagnostic agents"
"10542001510",826653,"A11HA","Other plain vitamin preparations"
"10542001510",826653,"A11HA","Other plain vitamin preparations"
"10542001510",826653,"A11HA","Other plain vitamin preparations"
"10542001510",826653,"S01XA","Other ophthalmologicals"
"10542002509",2264523,NA,NA
"10542003009",NA,NA,NA
"10542003012",198807,NA,NA
"10542004010",359297,"A02AC","Calcium compounds"
"10542004010",359297,"A12AA","Calcium"
"10542004550",428703,"V03AE","Drugs for treatment of hyperkalemia and hyperphosphatemia"
"10542007010",826860,"A11DA","Vitamin B1, plain"
"10542007010",826860,"A11GA","Ascorbic acid (vitamin C), plain"
"10542007010",826860,"G01AD","Organic acids"
"10542007010",826860,"S01XA","Other ophthalmologicals"
"10542007010",826860,"A11HA","Other plain vitamin preparations"
"10542007010",826860,"B03BA","Vitamin B12 (cyanocobalamin and analogues)"
"10542007010",826860,"B03BB","Folic acid and derivatives"
"10542007010",826860,"V04CX","Other diagnostic agents"
"10542007010",826860,"A11HA","Other plain vitamin preparations"
"10542007010",826860,"A11HA","Other plain vitamin preparations"
"10542007010",826860,"A11HA","Other plain vitamin preparations"
"10542007010",826860,"S01XA","Other ophthalmologicals"
"10542009090",240029,"A11CC","Vitamin D and analogues"
"10542009512",198507,"A11HA","Other plain vitamin preparations"
"10542010002",1303916,"A11CC","Vitamin D and analogues"
"10542017020",199084,NA,NA
"10542019007",311294,NA,NA
"10544000360",311892,"M01AX","Other antiinflammatory and antirheumatic agents, non-steroids"
"10544004420",198014,"G02CC","Antiinflammatory products for vaginal administration"
"10544004420",198014,"M01AE","Propionic acid derivatives"
"10544004420",198014,"M02AA","Antiinflammatory preparations, non-steroids for topical use"
"10544005720",309114,"J01DB","First-generation cephalosporins"
"10544006530",310385,"N06AB","Selective serotonin reuptake inhibitors"
"10544007120",206917,"C01EB","Other cardiac preparations"
"10544007120",206917,"G02CC","Antiinflammatory products for vaginal administration"
"10544007120",206917,"M01AE","Propionic acid derivatives"
"10544007120",206917,"M02AA","Antiinflammatory preparations, non-steroids for topical use"
"10544007120",206917,"R02AX","Other throat preparations"
"10544011730",308182,"J01CA","Penicillins with extended spectrum"
"10544012730",197381,"C07AB","Beta blocking agents, selective"
"10544012930",197397,"R05DB","Other cough suppressants"
"10544013130",310429,"C03CA","Sulfonamides, plain"
"10544014630",197310,"D06BB","Antivirals"
"10544014630",197310,"J05AB","Nucleosides and nucleotides excl. reverse transcriptase inhibitors"
"10544014630",197310,"S01AD","Antivirals"
"10544015130",197311,"D06BB","Antivirals"
"10544015130",197311,"J05AB","Nucleosides and nucleotides excl. reverse transcriptase inhibitors"
"10544015130",197311,"S01AD","Antivirals"
"10544015230",856783,"N06AA","Non-selective monoamine reuptake inhibitors"
"10544015340",197518,"D10AF","Antiinfectives for treatment of acne"
"10544015340",197518,"G01AA","Antibiotics"
"10544015340",197518,"J01FF","Lincosamides"
"10544015630",856834,"N06AA","Non-selective monoamine reuptake inhibitors"
"10544015790",856845,"N06AA","Non-selective monoamine reuptake inhibitors"
"10544016790",197380,"C07AB","Beta blocking agents, selective"
"10544017130",197379,"C07AB","Beta blocking agents, selective"
"10544017330",854916,"C07AB","Beta blocking agents, selective"
"10544017330",854916,"C03AA","Thiazides, plain"
"10544017630",866083,"N05BE","Azaspirodecanedione derivatives"
"10544017930",200371,"N06AB","Selective serotonin reuptake inhibitors"
"10544018230",309314,"N06AB","Selective serotonin reuptake inhibitors"
"10544018821",855906,"D11AX","Other dermatologicals"
"10544018821",855906,"M01AB","Acetic acid derivatives and related substances"
"10544018821",855906,"M02AA","Antiinflammatory preparations, non-steroids for topical use"
"10544018821",855906,"S01BC","Antiinflammatory agents, non-steroids"
"10544018901",855926,"D11AX","Other dermatologicals"
"10544018901",855926,"M01AB","Acetic acid derivatives and related substances"
"10544018901",855926,"M02AA","Antiinflammatory preparations, non-steroids for topical use"
"10544018901",855926,"S01BC","Antiinflammatory agents, non-steroids"
"10544019990",884185,"C02AC","Imidazoline receptor agonists"
"10544019990",884185,"N02CX","Other antimigraine preparations"
"10544019990",884185,"S01EA","Sympathomimetics in glaucoma therapy"
"10544020140",197805,"C01EB","Other cardiac preparations"
"10544020140",197805,"G02CC","Antiinflammatory products for vaginal administration"
"10544020140",197805,"M01AE","Propionic acid derivatives"
"10544020140",197805,"M02AA","Antiinflammatory preparations, non-steroids for topical use"
"10544020140",197805,"R02AX","Other throat preparations"
"10544020435",197313,"D06BB","Antivirals"
"10544020435",197313,"J05AB","Nucleosides and nucleotides excl. reverse transcriptase inhibitors"
"10544020435",197313,"S01AD","Antivirals"
"10544021206",197582,"A01AC","Corticosteroids for local oral treatment"
"10544021206",197582,"C05AA","Corticosteroids"
"10544021206",197582,"D07AB","Corticosteroids, moderately potent (group II)"
"10544021206",197582,"D07XB","Corticosteroids, moderately potent, other combinations"
"10544021206",197582,"D10AA","Corticosteroids, combinations for treatment of acne"
"10544021206",197582,"H02AB","Glucocorticoids"
"10544021206",197582,"R01AD","Corticosteroids"
"10544021206",197582,"S01BA","Corticosteroids, plain"
"10544021206",197582,"S01CB","Corticosteroids/antiinfectives/mydriatics in combination"
"10544021206",197582,"S02BA","Corticosteroids"
"10544021206",197582,"S03BA","Corticosteroids"
"10544021730",199246,"A10BB","Sulfonylureas"
"10544021930",199247,"A10BB","Sulfonylureas"
"10544022430",351249,"N06AB","Selective serotonin reuptake inhibitors"
"10544022530",349332,"N06AB","Selective serotonin reuptake inhibitors"
"10544023030",351250,"N06AB","Selective serotonin reuptake inhibitors"
"10544023590",197903,"C10AA","HMG CoA reductase inhibitors"
"10544024130",197904,"C10AA","HMG CoA reductase inhibitors"
"10544024230",197905,"C10AA","HMG CoA reductase inhibitors"
"10544024330",353538,"C01DA","Organic nitrates"
"10544024802",860975,"A10BA","Biguanides"
"10544025730",966222,"H03AA","Thyroid hormones"
"10544027160",311893,"M01AX","Other antiinflammatory and antirheumatic agents, non-steroids"
"10544028260",856448,"C07AA","Beta blocking agents, non-selective"
"10544028430",856457,"C07AA","Beta blocking agents, non-selective"
"10544028590",856519,"C07AA","Beta blocking agents, non-selective"
"10544028630",856569,"C07AA","Beta blocking agents, non-selective"
"10544028830",1147793,"A07EC","Aminosalicylic acid and similar agents"
"10544028930",260376,"G04CA","Alpha-adrenoreceptor antagonists"
"10544029190",310812,"C03DB","Other potassium-sparing agents"
"10544029190",310812,"C03AA","Thiazides, plain"
"10544029290",197627,"C02CA","Alpha-adrenoreceptor antagonists"
"10544029730",834102,"J01CE","Beta-lactamase sensitive penicillins"
"10544030130",993781,"N02BE","Anilides"
"10544030130",993781,"R05DA","Opium alkaloids and derivatives"
"10544030130",993781,"N02AJ","Opioids in combination with non-opioid analgesics"
"10544030202",828576,"N02BE","Anilides"
"10544030202",828576,"N02AC","Diphenylpropylamine derivatives"
"10544030328",197446,"M03BA","Carbamic acid esters"
"10544030414",309049,"J01DB","First-generation cephalosporins"
"10544030530",213469,"L01XX","Other antineoplastic agents"
"10544030530",213469,"M01AH","Coxibs"
"10544030930",197591,"N05BA","Benzodiazepine derivatives"
"10544031130",197686,"M01AB","Acetic acid derivatives and related substances"
"10544031402",856999,"N02BE","Anilides"
"10544031402",856999,"R05DA","Opium alkaloids and derivatives"
"10544031502",856903,"N02BE","Anilides"
"10544031502",856903,"R05DA","Opium alkaloids and derivatives"
"10544031602",857118,"N02BE","Anilides"
"10544031602",857118,"R05DA","Opium alkaloids and derivatives"
"10544031740",197806,"C01EB","Other cardiac preparations"
"10544031740",197806,"G02CC","Antiinflammatory products for vaginal administration"
"10544031740",197806,"M01AE","Propionic acid derivatives"
"10544031740",197806,"M02AA","Antiinflammatory preparations, non-steroids for topical use"
"10544031740",197806,"R02AX","Other throat preparations"
"10544031930",152695,"M01AC","Oxicams"
"10544032030",311486,"M01AC","Oxicams"
"10544032221",762675,"D07AA","Corticosteroids, weak (group I)"
"10544032221",762675,"D10AA","Corticosteroids, combinations for treatment of acne"
"10544032221",762675,"H02AB","Glucocorticoids"
"10544032460",849431,"G02CC","Antiinflammatory products for vaginal administration"
"10544032460",849431,"M01AE","Propionic acid derivatives"
"10544032460",849431,"M02AA","Antiinflammatory preparations, non-steroids for topical use"
"10544032560",198012,"G02CC","Antiinflammatory products for vaginal administration"
"10544032560",198012,"M01AE","Propionic acid derivatives"
"10544032560",198012,"M02AA","Antiinflammatory preparations, non-steroids for topical use"
"10544032660",312132,"M01AE","Propionic acid derivatives"
"10544032830",995253,"N05BB","Diphenylmethane derivatives"
"10544033120",617296,"J01CA","Penicillins with extended spectrum"
"10544033430",197528,"N03AE","Benzodiazepine derivatives"
"10544033812",834022,"M01AB","Acetic acid derivatives and related substances"
"10544033812",834022,"S01BC","Antiinflammatory agents, non-steroids"
"10544034130",198051,"A02BC","Proton pump inhibitors"
"10544034230",198108,"M01AC","Oxicams"
"10544034230",198108,"M02AA","Antiinflammatory preparations, non-steroids for topical use"
"10544034230",198108,"S01BC","Antiinflammatory agents, non-steroids"
"10544034460",198191,"A02BA","H2-receptor antagonists"
"10544034530",352277,NA,NA
"10544034630",856377,"N06AX","Other antidepressants"
"10544034730",198318,"N05CD","Benzodiazepine derivatives"
"10544034828",854873,"N05CF","Benzodiazepine related drugs"
"10544035330",238154,"N02BE","Anilides"
"10544035330",238154,"D11AX","Other dermatologicals"
"10544035330",238154,"N06BC","Xanthine derivatives"
"10544035430",197589,"N05BA","Benzodiazepine derivatives"
"10544035630",857002,"N02BE","Anilides"
"10544035630",857002,"R05DA","Opium alkaloids and derivatives"
"10544035702",857005,"N02BE","Anilides"
"10544035702",857005,"R05DA","Opium alkaloids and derivatives"
"10544035830",197902,"N05BA","Benzodiazepine derivatives"
"10544035930",994521,"M03BC","Ethers, chemically close to antihistamines"
"10544036030",198193,"A02BA","H2-receptor antagonists"
"10544036130",198242,"N05CD","Benzodiazepine derivatives"
